,d_mean,d_std,d_max,d_min,d_peaks_num,d_peaks_mean,d_peaks_idx_mean,g_mean,g_std,g_max,g_min,g_argmax,g_peaks_num,g_peaks_mean,g_clpeak_idx,g_peaks_idx_mean,ud_mean,ud_std,ud_max,ud_min,ud_delta,ud_peaks_num,ud_peaks_mean,ug_mean,ug_std,ug_max,ug_min,ug_peaks_num,ug_peaks_mean,md_mean,md_std,md_max,md_min,md_peaks_num,md_peaks_mean,mg_mean,mg_std,mg_max,mg_min,mg_peaks_num,mg_peaks_mean,bd_mean,bd_std,bd_max,bd_min,bd_peaks_num,bd_peaks_mean,bg_mean,bg_std,bg_max,bg_min,bg_peaks_num,bg_peaks_mean,top_labels,mid_labels,bot_labels
0,2.4412,1.0528,4.819,1.248,0,0.0,0.0,-0.0098,0.0097,0.028,-0.081,134,19,0.0195,312,83.3158,3.7644,0.5941,4.819,2.884,1.935,0,0.0,-0.0158,0.0088,0.028,-0.0405,21,0.0191,2.1138,0.3265,2.879,1.701,0,0.0,-0.0099,0.0113,0.0015,-0.081,7,0.0191,1.4455,0.1261,1.685,1.248,0,0.0,-0.0037,0.0024,0.005,-0.014,1,0.014,1,1,1
1,2.4453,1.0713,4.996,1.256,0,0.0,0.0,-0.0102,0.011,0.029,-0.0735,134,24,0.0194,239,110.2083,3.7837,0.6452,4.996,2.873,2.123,1,4.996,-0.0175,0.0121,0.029,-0.0545,17,0.0181,2.1087,0.3204,2.825,1.699,0,0.0,-0.0097,0.0108,0.0005,-0.0735,7,0.0207,1.4435,0.1256,1.68,1.256,1,1.4,-0.0035,0.0026,0.007,-0.0135,5,0.0071,1,1,1
2,2.4348,1.0568,4.969,1.257,0,0.0,0.0,-0.0103,0.0101,0.005,-0.0915,134,25,0.0213,311,90.56,3.7578,0.6222,4.969,2.86,2.109,0,0.0,-0.0176,0.0086,-0.001,-0.043,20,0.0209,2.1052,0.3196,2.845,1.694,0,0.0,-0.0097,0.0114,0.0,-0.0915,7,0.0188,1.4414,0.1249,1.683,1.257,1,1.402,-0.0036,0.0024,0.005,-0.0155,2,0.0102,1,1,1
3,2.4199,1.0464,5.038,1.25,0,0.0,0.0,-0.0105,0.0106,0.002,-0.0875,132,23,0.0208,301,81.8696,3.7288,0.6231,5.038,2.835,2.203,0,0.0,-0.0185,0.0093,0.0005,-0.048,20,0.0239,2.0918,0.3136,2.816,1.682,0,0.0,-0.0095,0.0117,0.0005,-0.0875,7,0.0077,1.439,0.1243,1.678,1.25,0,0.0,-0.0036,0.002,0.002,-0.011,3,0.0085,1,1,1
4,2.4198,1.0414,4.969,1.254,0,0.0,0.0,-0.0103,0.0102,0.003,-0.0825,133,19,0.0235,238,95.7895,3.7255,0.6063,4.969,2.838,2.131,0,0.0,-0.0179,0.0088,-0.002,-0.051,17,0.0231,2.0941,0.3157,2.814,1.677,0,0.0,-0.0096,0.011,-0.001,-0.0825,11,0.0153,1.44,0.1246,1.676,1.254,1,1.405,-0.0035,0.0024,0.003,-0.0125,1,0.001,1,1,1
5,2.4167,1.0353,5.012,1.251,0,0.0,0.0,-0.0104,0.0107,0.0035,-0.0705,133,30,0.0207,313,87.1333,3.7155,0.6007,5.012,2.82,2.192,0,0.0,-0.0183,0.0111,0.001,-0.062,22,0.021,2.0931,0.3099,2.813,1.68,0,0.0,-0.0095,0.0104,-0.0005,-0.0705,10,0.0147,1.4414,0.1261,1.683,1.251,1,1.401,-0.0036,0.0023,0.0035,-0.0125,2,0.01,1,1,1
6,2.4346,1.0551,5.151,1.252,0,0.0,0.0,-0.0109,0.0111,0.0055,-0.0675,6,22,0.016,315,130.6364,3.753,0.6267,5.151,2.87,2.281,0,0.0,-0.0192,0.0114,-0.002,-0.0675,16,0.0202,2.1075,0.3211,2.847,1.7,0,0.0,-0.0097,0.0104,0.0005,-0.066,9,0.0068,1.4433,0.1258,1.687,1.252,0,0.0,-0.0037,0.0027,0.0055,-0.0195,3,0.0072,1,1,1
7,2.435,1.0524,5.066,1.252,0,0.0,0.0,-0.0106,0.0112,0.003,-0.099,135,24,0.0213,316,108.0833,3.7499,0.621,5.066,2.861,2.205,0,0.0,-0.0184,0.0113,0.002,-0.074,19,0.0212,2.1103,0.3251,2.852,1.693,0,0.0,-0.0097,0.0116,-0.0005,-0.099,12,0.0148,1.4447,0.1264,1.686,1.252,0,0.0,-0.0036,0.0024,0.003,-0.0125,2,0.007,1,1,1
8,2.4592,1.0759,5.188,1.253,0,0.0,0.0,-0.0109,0.0119,0.003,-0.1165,137,23,0.0249,137,73.8261,3.7985,0.6483,5.188,2.891,2.297,0,0.0,-0.0192,0.0108,-0.002,-0.053,19,0.0235,2.1296,0.3378,2.877,1.699,0,0.0,-0.0099,0.0134,-0.001,-0.1165,8,0.0226,1.4494,0.1273,1.69,1.253,1,1.387,-0.0037,0.0022,0.003,-0.01,4,0.0079,1,1,1
9,2.4733,1.0867,5.132,1.251,0,0.0,0.0,-0.0105,0.0123,0.067,-0.118,138,18,0.0222,220,90.0,3.8273,0.652,5.132,2.91,2.222,0,0.0,-0.0177,0.0128,0.067,-0.046,20,0.0187,2.1383,0.3416,2.894,1.705,0,0.0,-0.01,0.0136,-0.0015,-0.118,8,0.0213,1.4543,0.1298,1.7,1.251,0,0.0,-0.0038,0.0023,0.002,-0.014,3,0.0048,1,1,1
