,d_mean,d_std,d_max,d_min,d_peaks_num,d_peaks_mean,d_peaks_idx_mean,g_mean,g_std,g_max,g_min,g_argmax,g_peaks_num,g_peaks_mean,g_clpeak_idx,g_peaks_idx_mean,ud_mean,ud_std,ud_max,ud_min,ud_delta,ud_peaks_num,ud_peaks_mean,ug_mean,ug_std,ug_max,ug_min,ug_peaks_num,ug_peaks_mean,md_mean,md_std,md_max,md_min,md_peaks_num,md_peaks_mean,mg_mean,mg_std,mg_max,mg_min,mg_peaks_num,mg_peaks_mean,bd_mean,bd_std,bd_max,bd_min,bd_peaks_num,bd_peaks_mean,bg_mean,bg_std,bg_max,bg_min,bg_peaks_num,bg_peaks_mean,top_labels,mid_labels,bot_labels
0,2.1333,0.9424,5.591,1.139,3,3.7737,63.6667,-0.0082,0.0791,0.4505,-0.789,53,23,0.1099,159,75.7391,3.2431,0.7572,5.591,2.372,3.219,5,3.5384,-0.0142,0.1367,0.4505,-0.789,18,0.1382,1.8629,0.2657,2.372,1.5,0,0.0,-0.0073,0.005,0.0025,-0.029,6,0.0103,1.2938,0.1039,1.496,1.139,0,0.0,-0.003,0.0012,-0.001,-0.0065,0,0.0,1,1,1
1,2.1498,1.0127,5.727,1.14,5,3.6616,56.2,-0.0083,0.0664,0.3015,-0.587,53,22,0.0881,166,62.0909,3.3112,0.9056,5.727,2.326,3.401,6,3.4415,-0.015,0.1147,0.3015,-0.587,21,0.0898,1.8483,0.2588,2.331,1.49,0,0.0,-0.007,0.0046,0.001,-0.028,6,0.0153,1.29,0.1022,1.486,1.14,0,0.0,-0.0029,0.0013,0.001,-0.007,0,0.0,1,1,1
2,2.1812,0.9557,4.25,1.138,6,3.4783,64.8333,-0.0087,0.038,0.135,-0.392,66,26,0.0582,163,81.0,3.3314,0.6732,4.25,2.489,1.761,10,3.3691,-0.0146,0.065,0.135,-0.392,21,0.0664,1.9172,0.3129,2.514,1.499,0,0.0,-0.0084,0.0069,0.005,-0.037,8,0.0186,1.2949,0.1053,1.495,1.138,0,0.0,-0.003,0.0012,-0.001,-0.0065,0,0.0,1,1,1
3,2.133,0.8641,4.068,1.141,4,3.054,72.25,-0.0081,0.0299,0.1295,-0.3004,67,23,0.0429,153,80.0435,3.1723,0.5628,4.068,2.342,1.726,7,3.2934,-0.0133,0.051,0.1295,-0.3004,19,0.0489,1.9276,0.3069,2.472,1.502,0,0.0,-0.0081,0.0052,0.01,-0.0285,9,0.0122,1.2992,0.106,1.497,1.141,0,0.0,-0.003,0.0012,0.0,-0.006,0,0.0,1,1,1
4,2.0777,0.7779,3.936,1.15,1,2.741,97.0,-0.0078,0.012,0.0485,-0.0815,67,20,0.0265,147,68.45,3.0159,0.4727,3.936,2.417,1.519,4,2.7922,-0.0129,0.0191,0.0485,-0.0815,23,0.0248,1.913,0.2732,2.412,1.514,0,0.0,-0.0075,0.0038,0.0005,-0.0175,5,0.011,1.3041,0.1061,1.511,1.15,0,0.0,-0.003,0.0011,-0.001,-0.007,0,0.0,1,1,1
5,2.0878,0.7917,4.171,1.154,2,2.481,100.0,-0.0084,0.0101,0.0205,-0.073,12,18,0.0246,75,53.1667,3.0407,0.5299,4.171,2.351,1.82,2,2.481,-0.0153,0.0146,0.0205,-0.073,19,0.0249,1.9018,0.2391,2.345,1.536,0,0.0,-0.0068,0.0037,0.001,-0.019,4,0.0052,1.3211,0.1097,1.531,1.154,0,0.0,-0.0032,0.0012,0.0,-0.007,0,0.0,1,1,1
6,2.1459,0.8373,4.313,1.166,0,0.0,0.0,-0.0085,0.0139,0.0985,-0.072,101,19,0.0308,163,61.0,3.1551,0.554,4.313,2.392,1.921,3,3.188,-0.0153,0.0215,0.0985,-0.072,22,0.0287,1.9496,0.2569,2.375,1.555,0,0.0,-0.0069,0.0062,0.0015,-0.0365,2,0.0277,1.3329,0.1109,1.55,1.166,0,0.0,-0.0032,0.0011,-0.001,-0.0065,0,0.0,1,1,1
7,2.1653,0.8722,4.558,1.161,1,3.996,18.0,-0.0094,0.0136,0.065,-0.1095,20,14,0.033,165,56.7857,3.2186,0.6014,4.558,2.433,2.125,3,3.057,-0.0176,0.0207,0.065,-0.1095,18,0.0317,1.9403,0.2491,2.414,1.556,0,0.0,-0.0072,0.0037,0.0,-0.0175,4,0.0127,1.3372,0.1122,1.555,1.161,0,0.0,-0.0033,0.0012,-0.001,-0.009,0,0.0,1,1,1
8,2.1602,0.8731,4.625,1.182,1,2.536,103.0,-0.0093,0.0156,0.077,-0.1685,3,20,0.0325,213,64.2,3.2149,0.6036,4.625,2.427,2.198,1,2.536,-0.0176,0.0245,0.077,-0.1685,23,0.0314,1.9306,0.2541,2.411,1.55,0,0.0,-0.0073,0.0038,0.0,-0.018,3,0.0095,1.3351,0.1105,1.545,1.182,0,0.0,-0.0031,0.0014,0.0,-0.0095,0,0.0,1,1,1
9,2.1377,0.8552,4.484,1.172,1,3.982,16.0,-0.0094,0.0135,0.036,-0.134,0,15,0.0307,71,50.2667,3.1741,0.5851,4.484,2.394,2.09,3,3.0203,-0.018,0.0204,0.036,-0.134,16,0.0318,1.9108,0.2424,2.377,1.54,0,0.0,-0.007,0.0034,0.001,-0.018,3,0.0067,1.3283,0.1096,1.54,1.172,0,0.0,-0.0031,0.0015,0.002,-0.0105,0,0.0,1,1,1
