,d_mean,d_std,d_max,d_min,d_peaks_num,d_peaks_mean,d_peaks_idx_mean,g_mean,g_std,g_max,g_min,g_argmax,g_peaks_num,g_peaks_mean,g_clpeak_idx,g_peaks_idx_mean,ud_mean,ud_std,ud_max,ud_min,ud_delta,ud_peaks_num,ud_peaks_mean,ug_mean,ug_std,ug_max,ug_min,ug_peaks_num,ug_peaks_mean,md_mean,md_std,md_max,md_min,md_peaks_num,md_peaks_mean,mg_mean,mg_std,mg_max,mg_min,mg_peaks_num,mg_peaks_mean,bd_mean,bd_std,bd_max,bd_min,bd_peaks_num,bd_peaks_mean,bg_mean,bg_std,bg_max,bg_min,bg_peaks_num,bg_peaks_mean,top_labels,mid_labels,bot_labels
0,1.9419,0.7036,3.769,1.122,2,2.9745,42.0,-0.0075,0.0165,0.044,-0.1825,67,18,0.0352,115,47.2778,2.7996,0.4665,3.769,2.105,1.664,6,2.6752,-0.0142,0.027,0.044,-0.1825,20,0.0321,1.7639,0.1696,2.09,1.446,2,1.971,-0.0054,0.0041,0.004,-0.0175,4,0.0071,1.2621,0.0962,1.443,1.122,0,0.0,-0.0027,0.0012,0.0,-0.0055,0,0.0,1,1,1
1,1.9163,0.6463,3.467,1.131,2,2.3125,104.0,-0.0065,0.008,0.0335,-0.056,72,13,0.0222,150,71.3846,2.7055,0.3926,3.467,2.121,1.346,2,2.3125,-0.0113,0.012,0.0335,-0.056,15,0.0207,1.7707,0.1773,2.111,1.465,0,0.0,-0.0055,0.0031,-0.0005,-0.014,3,0.0065,1.2727,0.0972,1.457,1.131,0,0.0,-0.0028,0.0011,-0.0005,-0.006,0,0.0,1,1,1
2,1.92,0.6454,3.537,1.137,0,0.0,0.0,-0.0066,0.0087,0.0325,-0.0475,118,16,0.0206,118,41.6875,2.7111,0.3908,3.537,2.19,1.347,2,2.3235,-0.011,0.0132,0.0325,-0.0475,22,0.0179,1.7674,0.1733,2.165,1.49,0,0.0,-0.0057,0.0041,0.0015,-0.023,0,0.0,1.2815,0.1009,1.486,1.137,0,0.0,-0.0029,0.0013,-0.0005,-0.0075,0,0.0,1,1,1
3,1.93,0.6537,3.478,1.129,3,2.639,79.0,-0.006,0.0104,0.079,-0.0485,4,13,0.0283,124,67.2308,2.7206,0.4099,3.478,2.124,1.354,2,2.801,-0.0084,0.0159,0.079,-0.0445,15,0.0226,1.7818,0.2075,2.315,1.492,0,0.0,-0.0066,0.0073,0.028,-0.0485,2,0.0248,1.2877,0.1054,1.49,1.129,0,0.0,-0.003,0.0012,-0.001,-0.007,0,0.0,1,1,1
4,1.9206,0.6494,3.451,1.124,1,2.275,121.0,-0.0063,0.0082,0.026,-0.04,124,18,0.0188,118,58.7778,2.7045,0.415,3.451,2.166,1.285,2,2.8085,-0.0096,0.0114,0.0205,-0.037,17,0.0179,1.7756,0.1976,2.275,1.473,1,1.648,-0.0063,0.0071,0.026,-0.04,2,0.014,1.2816,0.1001,1.469,1.124,0,0.0,-0.0029,0.0012,-0.0005,-0.008,1,0.007,1,1,1
5,1.9147,0.647,3.469,1.122,1,2.233,124.0,-0.0063,0.0079,0.036,-0.0475,125,21,0.0179,127,61.0952,2.696,0.4176,3.469,2.145,1.324,2,2.807,-0.0099,0.0107,0.036,-0.0385,22,0.0159,1.7667,0.1946,2.233,1.471,0,0.0,-0.006,0.0066,0.017,-0.0475,2,0.0368,1.2813,0.1012,1.466,1.122,0,0.0,-0.0029,0.0014,0.0005,-0.0075,0,0.0,1,1,1
6,1.9107,0.6419,3.417,1.128,3,2.607,81.3333,-0.0064,0.0085,0.0575,-0.0465,114,17,0.0164,128,86.5882,2.6856,0.4079,3.417,2.131,1.286,3,2.9693,-0.0101,0.0117,0.0575,-0.0325,11,0.0172,1.7672,0.2003,2.248,1.466,2,1.893,-0.0064,0.0071,0.0065,-0.0465,7,0.0145,1.2792,0.0987,1.459,1.128,0,0.0,-0.0028,0.0015,0.001,-0.0085,0,0.0,1,1,1
7,1.9214,0.6558,3.467,1.128,1,3.429,8.0,-0.0065,0.0094,0.0375,-0.0545,130,11,0.0146,121,52.0909,2.7015,0.4378,3.467,2.09,1.377,1,3.429,-0.0112,0.0103,0.0355,-0.052,12,0.0163,1.7828,0.2194,2.304,1.488,1,2.304,-0.0053,0.0111,0.0375,-0.0545,2,0.009,1.2799,0.106,1.486,1.128,0,0.0,-0.003,0.0014,-0.0005,-0.0075,0,0.0,1,1,1
8,1.9558,0.6776,3.473,1.126,0,0.0,0.0,-0.0063,0.0109,0.065,-0.062,128,11,0.0223,124,58.5455,2.7673,0.444,3.473,2.088,1.385,1,3.473,-0.0109,0.0114,0.017,-0.062,15,0.0176,1.809,0.2145,2.301,1.492,1,2.301,-0.005,0.0137,0.065,-0.0505,3,0.0452,1.2912,0.1113,1.488,1.126,0,0.0,-0.003,0.0014,0.0,-0.0065,0,0.0,1,1,1
9,2.0227,0.7375,3.817,1.129,4,2.596,85.5,-0.0075,0.0139,0.0532,-0.081,101,20,0.0293,147,76.2,2.9204,0.4824,3.817,2.089,1.728,5,2.8788,-0.0145,0.0176,0.0185,-0.081,19,0.0236,1.838,0.1907,2.249,1.548,2,2.134,-0.0045,0.0138,0.0532,-0.0785,4,0.0431,1.3096,0.1193,1.545,1.129,0,0.0,-0.0035,0.0017,-0.001,-0.0125,0,0.0,1,1,1
10,2.057,0.794,3.806,1.142,5,3.3454,48.4,-0.0069,0.016,0.1,-0.1,0,25,0.026,245,79.24,3.0413,0.514,3.806,2.068,1.738,6,3.1825,-0.013,0.0245,0.1,-0.1,24,0.025,1.8185,0.1785,2.125,1.536,2,2.0665,-0.0044,0.0102,0.049,-0.054,4,0.02,1.311,0.1142,1.533,1.142,0,0.0,-0.0033,0.0018,-0.0005,-0.011,1,0.011,1,1,1
