,d_mean,d_std,d_max,d_min,d_peaks_num,d_peaks_mean,d_peaks_idx_mean,g_mean,g_std,g_max,g_min,g_argmax,g_peaks_num,g_peaks_mean,g_clpeak_idx,g_peaks_idx_mean,ud_mean,ud_std,ud_max,ud_min,ud_delta,ud_peaks_num,ud_peaks_mean,ug_mean,ug_std,ug_max,ug_min,ug_peaks_num,ug_peaks_mean,md_mean,md_std,md_max,md_min,md_peaks_num,md_peaks_mean,mg_mean,mg_std,mg_max,mg_min,mg_peaks_num,mg_peaks_mean,bd_mean,bd_std,bd_max,bd_min,bd_peaks_num,bd_peaks_mean,bg_mean,bg_std,bg_max,bg_min,bg_peaks_num,bg_peaks_mean,top_labels,mid_labels,bot_labels
0,2.1704,1.0472,4.478,1.129,1,3.053,97.0,-0.0093,0.0351,0.071,-0.438,115,27,0.0418,146,68.0741,3.5608,0.5233,4.478,1.997,2.481,3,3.6073,-0.0207,0.0591,0.071,-0.438,30,0.0396,1.682,0.1513,1.984,1.437,1,1.769,-0.0046,0.0032,0.0045,-0.017,4,0.005,1.2684,0.0891,1.433,1.129,0,0.0,-0.0026,0.0009,-0.001,-0.005,0,0.0,3,1,1
1,2.1617,1.044,4.565,1.13,4,3.2355,88.0,-0.0096,0.0312,0.063,-0.3915,114,26,0.038,153,70.3077,3.5399,0.5518,4.565,1.996,2.569,4,3.2355,-0.0215,0.0519,0.063,-0.3915,25,0.0387,1.6791,0.1516,1.981,1.435,1,1.77,-0.0046,0.0031,0.005,-0.016,5,0.011,1.2661,0.0887,1.43,1.13,0,0.0,-0.0025,0.0011,0.002,-0.0055,0,0.0,3,1,1
2,2.1562,1.041,4.495,1.13,2,3.3115,85.5,-0.0094,0.0266,0.0365,-0.361,114,26,0.0378,207,81.1154,3.5273,0.5618,4.495,1.989,2.506,3,3.2313,-0.021,0.0433,0.0365,-0.361,28,0.0342,1.6766,0.1525,1.975,1.431,1,1.585,-0.0046,0.0058,0.02,-0.0472,4,0.0172,1.2647,0.0877,1.426,1.13,0,0.0,-0.0025,0.0012,0.002,-0.0055,0,0.0,3,1,1
3,2.1584,1.0437,4.465,1.127,3,3.3303,89.0,-0.0092,0.032,0.1205,-0.3775,114,25,0.041,197,73.76,3.5387,0.5437,4.465,1.989,2.476,3,3.3303,-0.0206,0.0535,0.1205,-0.3775,25,0.0411,1.6711,0.1558,1.976,1.432,0,0.0,-0.0046,0.0046,0.0,-0.0345,2,0.0222,1.2653,0.0885,1.428,1.127,0,0.0,-0.0025,0.001,0.002,-0.0055,0,0.0,3,1,1
4,2.154,1.0441,4.413,1.127,1,3.339,103.0,-0.0092,0.028,0.094,-0.3625,114,34,0.04,196,69.3235,3.5314,0.558,4.413,1.978,2.435,2,3.203,-0.0205,0.0463,0.094,-0.3625,36,0.0376,1.6662,0.1568,1.965,1.429,0,0.0,-0.0045,0.0047,0.001,-0.0379,2,0.0234,1.2643,0.0884,1.425,1.127,0,0.0,-0.0025,0.001,0.0005,-0.006,0,0.0,3,1,1
5,2.1298,1.0176,4.452,1.117,0,0.0,0.0,-0.0092,0.0273,0.1055,-0.36,111,26,0.0396,215,77.4231,3.4617,0.5777,4.452,1.954,2.498,3,3.25,-0.0208,0.0449,0.1055,-0.36,25,0.0416,1.668,0.1443,1.944,1.421,2,1.614,-0.0044,0.0044,0.011,-0.0293,3,0.0164,1.2597,0.0878,1.418,1.117,0,0.0,-0.0025,0.001,0.0005,-0.006,0,0.0,3,1,1
6,2.107,1.0041,4.472,1.122,3,2.6573,107.0,-0.0093,0.0247,0.0735,-0.3,109,39,0.0314,193,98.0256,3.4077,0.6166,4.472,1.938,2.534,4,3.231,-0.0211,0.04,0.0735,-0.3,30,0.0383,1.6549,0.1438,1.927,1.417,3,1.6707,-0.0043,0.0048,0.01,-0.0225,17,0.0091,1.2585,0.0866,1.414,1.122,0,0.0,-0.0024,0.0008,0.0,-0.0055,0,0.0,3,1,1
7,2.1033,0.998,4.377,1.12,3,3.2697,81.6667,-0.0089,0.0283,0.074,-0.365,109,32,0.0347,177,90.8438,3.398,0.6053,4.377,1.939,2.438,3,3.2697,-0.02,0.0469,0.074,-0.365,29,0.0381,1.6542,0.1431,1.931,1.416,1,1.687,-0.0043,0.0043,0.0085,-0.023,10,0.0086,1.2575,0.0867,1.413,1.12,0,0.0,-0.0025,0.0008,0.0,-0.0055,0,0.0,3,1,1
8,2.1057,0.9964,4.338,1.118,1,3.029,94.0,-0.009,0.026,0.0705,-0.33,109,33,0.0324,166,75.7576,3.4019,0.5925,4.338,1.945,2.393,3,3.2463,-0.02,0.0427,0.0705,-0.33,32,0.0333,1.6568,0.1432,1.938,1.417,0,0.0,-0.0044,0.0035,0.011,-0.024,6,0.0122,1.2584,0.0869,1.414,1.118,0,0.0,-0.0025,0.0008,-0.001,-0.0055,0,0.0,3,1,1
9,2.1107,0.9965,4.407,1.12,2,3.2365,76.5,-0.0092,0.0268,0.099,-0.327,111,31,0.0352,176,74.7419,3.4124,0.5741,4.407,1.956,2.451,6,3.3013,-0.0206,0.0441,0.099,-0.327,26,0.0402,1.659,0.1445,1.947,1.419,1,1.65,-0.0044,0.0034,0.0085,-0.0125,8,0.0081,1.2607,0.0875,1.416,1.12,0,0.0,-0.0025,0.0009,0.0,-0.0055,0,0.0,3,1,1
