,d_mean,d_std,d_max,d_min,d_peaks_num,d_peaks_mean,d_peaks_idx_mean,g_mean,g_std,g_max,g_min,g_argmax,g_peaks_num,g_peaks_mean,g_clpeak_idx,g_peaks_idx_mean,ud_mean,ud_std,ud_max,ud_min,ud_delta,ud_peaks_num,ud_peaks_mean,ug_mean,ug_std,ug_max,ug_min,ug_peaks_num,ug_peaks_mean,md_mean,md_std,md_max,md_min,md_peaks_num,md_peaks_mean,mg_mean,mg_std,mg_max,mg_min,mg_peaks_num,mg_peaks_mean,bd_mean,bd_std,bd_max,bd_min,bd_peaks_num,bd_peaks_mean,bg_mean,bg_std,bg_max,bg_min,bg_peaks_num,bg_peaks_mean,top_labels,mid_labels,bot_labels
0,1.9729,0.8966,4.341,1.135,0,0.0,0.0,-0.0089,0.0241,0.0105,-0.2345,49,12,0.0407,144,57.1667,2.9506,0.9281,4.341,1.988,2.353,0,0.0,-0.0197,0.0395,0.0105,-0.2345,14,0.0355,1.6898,0.1537,1.976,1.45,0,0.0,-0.0045,0.0021,0.0,-0.0115,1,0.0115,1.2782,0.0891,1.443,1.135,0,0.0,-0.0026,0.0013,0.0015,-0.006,0,0.0,3,1,1
1,1.9454,0.8672,4.183,1.137,0,0.0,0.0,-0.0085,0.0248,0.005,-0.2965,48,12,0.0578,142,73.0,2.89,0.8978,4.183,1.967,2.216,0,0.0,-0.0185,0.041,0.0045,-0.2965,9,0.0739,1.6748,0.1502,1.955,1.442,0,0.0,-0.0043,0.0018,-0.0005,-0.0115,3,0.0073,1.2715,0.0878,1.437,1.137,0,0.0,-0.0025,0.0019,0.005,-0.012,0,0.0,3,1,1
2,2.0403,0.9626,4.456,1.151,1,2.35,79.0,-0.0092,0.0293,0.0365,-0.3435,66,16,0.0488,228,51.25,3.1133,0.9667,4.456,1.929,2.527,1,2.35,-0.0211,0.0485,0.0365,-0.3435,18,0.0446,1.7121,0.1507,1.929,1.469,0,0.0,-0.0038,0.0029,0.0005,-0.018,2,0.005,1.2956,0.093,1.467,1.151,0,0.0,-0.0026,0.0012,0.0,-0.0055,0,0.0,3,1,1
3,2.1727,1.0802,5.036,1.173,0,0.0,0.0,-0.0107,0.0276,0.002,-0.3475,82,22,0.0456,165,74.0455,3.4555,0.9626,5.036,1.854,3.182,0,0.0,-0.0265,0.0437,0.0,-0.3475,20,0.0518,1.7339,0.1189,1.854,1.507,0,0.0,-0.0029,0.0025,0.0,-0.0125,3,0.0047,1.3288,0.0968,1.506,1.173,0,0.0,-0.0028,0.0017,0.002,-0.008,3,0.001,3,1,1
4,2.2277,1.1391,5.052,1.164,1,1.914,159.0,-0.0108,0.0225,0.016,-0.2465,89,20,0.0457,162,66.35,3.6126,0.9497,5.052,1.8706,3.1814,0,0.0,-0.0264,0.0336,0.007,-0.2465,24,0.0409,1.7455,0.125,1.914,1.513,2,1.892,-0.003,0.0043,0.016,-0.018,1,0.018,1.3252,0.0996,1.513,1.164,0,0.0,-0.0029,0.0019,0.0015,-0.009,1,0.0015,3,1,1
5,2.1804,1.0728,4.751,1.164,0,0.0,0.0,-0.01,0.0201,0.013,-0.175,83,25,0.0336,271,72.0,3.4796,0.8922,4.751,1.9421,2.8089,0,0.0,-0.0234,0.0302,0.007,-0.175,24,0.0346,1.7465,0.1514,1.967,1.498,1,1.941,-0.0037,0.0049,0.013,-0.026,3,0.0153,1.3151,0.0949,1.49,1.164,0,0.0,-0.0028,0.0016,0.001,-0.01,1,0.01,3,1,1
6,2.2006,1.0839,4.953,1.165,0,0.0,0.0,-0.0106,0.0193,0.018,-0.196,87,27,0.0321,177,91.5926,3.5306,0.8581,4.953,2.05,2.903,0,0.0,-0.0242,0.0284,0.005,-0.196,18,0.0403,1.7567,0.1671,2.082,1.493,1,1.993,-0.0048,0.0054,0.018,-0.0215,12,0.0112,1.3145,0.0948,1.492,1.165,0,0.0,-0.0027,0.0013,0.001,-0.007,0,0.0,3,1,1
7,2.183,1.0725,4.782,1.158,0,0.0,0.0,-0.0101,0.0167,0.0065,-0.1375,89,19,0.036,172,73.6316,3.515,0.8136,4.782,2.055,2.727,0,0.0,-0.0229,0.0239,0.0065,-0.1375,25,0.0323,1.7311,0.1634,2.051,1.482,1,1.776,-0.0048,0.0037,0.006,-0.018,4,0.0072,1.3028,0.0948,1.48,1.158,0,0.0,-0.0027,0.0013,0.0015,-0.0055,0,0.0,3,1,1
8,2.1728,1.0701,4.676,1.149,0,0.0,0.0,-0.0098,0.0215,0.013,-0.28,95,24,0.033,204,79.4167,3.5125,0.788,4.676,2.031,2.645,2,3.487,-0.022,0.0339,0.013,-0.28,24,0.0365,1.7133,0.1603,2.025,1.465,0,0.0,-0.0047,0.0028,0.002,-0.014,6,0.0051,1.2927,0.0919,1.461,1.149,0,0.0,-0.0026,0.0011,0.001,-0.0065,0,0.0,3,1,1
9,2.4048,1.229,5.188,1.175,2,3.1995,110.0,-0.0112,0.0221,0.036,-0.2445,132,18,0.035,171,83.7222,4.0087,0.6175,5.188,3.163,2.025,2,3.1995,-0.0164,0.0131,0.036,-0.053,19,0.017,1.8782,0.3604,3.221,1.53,0,0.0,-0.0141,0.0346,-0.0005,-0.2445,6,0.077,1.3274,0.0999,1.526,1.175,0,0.0,-0.003,0.0016,0.0,-0.01,1,0.0065,1,1,1
