,d_mean,d_std,d_max,d_min,d_peaks_num,d_peaks_mean,d_peaks_idx_mean,g_mean,g_std,g_max,g_min,g_argmax,g_peaks_num,g_peaks_mean,g_clpeak_idx,g_peaks_idx_mean,ud_mean,ud_std,ud_max,ud_min,ud_delta,ud_peaks_num,ud_peaks_mean,ug_mean,ug_std,ug_max,ug_min,ug_peaks_num,ug_peaks_mean,md_mean,md_std,md_max,md_min,md_peaks_num,md_peaks_mean,mg_mean,mg_std,mg_max,mg_min,mg_peaks_num,mg_peaks_mean,bd_mean,bd_std,bd_max,bd_min,bd_peaks_num,bd_peaks_mean,bg_mean,bg_std,bg_max,bg_min,bg_peaks_num,bg_peaks_mean,top_labels,mid_labels,bot_labels
0,2.5801,1.3126,6.387,1.267,0,0.0,0.0,-0.0143,0.017,0.006,-0.129,3,17,0.0383,117,64.0588,4.1619,1.0495,6.387,2.66,3.727,0,0.0,-0.0313,0.0199,-0.0055,-0.129,18,0.0373,2.1237,0.2719,2.652,1.726,0,0.0,-0.0078,0.004,0.0045,-0.0215,2,0.0052,1.4548,0.1289,1.717,1.267,1,1.267,-0.0037,0.0022,0.006,-0.012,0,0.0,3,1,1
1,2.5934,1.3317,6.431,1.267,0,0.0,0.0,-0.0144,0.016,0.0045,-0.1055,2,23,0.0402,148,52.6087,4.1976,1.0694,6.431,2.672,3.759,0,0.0,-0.0314,0.0175,-0.0075,-0.1055,25,0.041,2.1269,0.2742,2.665,1.724,0,0.0,-0.0079,0.0044,0.0045,-0.021,3,0.0098,1.4559,0.1301,1.717,1.267,0,0.0,-0.0038,0.0017,0.0,-0.009,0,0.0,3,1,1
2,2.5767,1.2955,6.209,1.264,0,0.0,0.0,-0.0136,0.0159,0.043,-0.099,87,24,0.034,164,76.75,4.1442,1.0153,6.209,2.662,3.547,0,0.0,-0.0291,0.0191,0.043,-0.099,22,0.0374,2.1292,0.2744,2.651,1.725,0,0.0,-0.0078,0.0042,0.0035,-0.02,9,0.0111,1.4567,0.1293,1.717,1.264,0,0.0,-0.0038,0.0018,0.0005,-0.01,0,0.0,3,1,1
3,2.6084,1.3509,6.586,1.263,0,0.0,0.0,-0.0145,0.0178,0.07,-0.1045,6,16,0.0317,156,75.125,4.232,1.0948,6.586,2.677,3.909,0,0.0,-0.0318,0.0219,0.07,-0.1045,15,0.0388,2.1337,0.2775,2.663,1.731,0,0.0,-0.0078,0.0039,0.0,-0.0175,6,0.0063,1.4594,0.1324,1.727,1.263,0,0.0,-0.0039,0.0016,-0.001,-0.009,0,0.0,1,1,1
4,2.5946,1.3353,6.713,1.264,0,0.0,0.0,-0.0152,0.0189,0.0005,-0.1185,5,30,0.0308,149,63.7333,4.1983,1.0843,6.713,2.671,4.042,0,0.0,-0.0339,0.0228,-0.0025,-0.1185,30,0.0321,2.1263,0.2744,2.657,1.728,0,0.0,-0.0078,0.0037,0.0005,-0.018,4,0.0099,1.4592,0.133,1.727,1.264,0,0.0,-0.0039,0.0016,-0.001,-0.012,0,0.0,1,1,1
5,2.5891,1.327,6.63,1.265,0,0.0,0.0,-0.0147,0.019,0.039,-0.1255,5,16,0.0408,226,69.875,4.1842,1.0738,6.63,2.672,3.958,0,0.0,-0.0325,0.0241,0.039,-0.1255,21,0.0435,2.1244,0.2731,2.66,1.729,0,0.0,-0.0078,0.0038,-0.001,-0.0195,4,0.0097,1.4587,0.1319,1.727,1.265,0,0.0,-0.0039,0.0017,-0.001,-0.0115,1,0.0115,1,1,1
6,2.5877,1.3277,6.656,1.263,0,0.0,0.0,-0.0149,0.019,0.016,-0.1295,5,21,0.0388,141,63.5714,4.1826,1.0763,6.656,2.671,3.985,0,0.0,-0.0331,0.0236,0.016,-0.1295,26,0.0374,2.1231,0.2732,2.659,1.727,0,0.0,-0.0078,0.0041,0.0005,-0.0225,6,0.0129,1.4572,0.1322,1.722,1.263,0,0.0,-0.0039,0.0016,-0.001,-0.0095,0,0.0,1,1,1
7,2.5611,1.2944,6.228,1.265,0,0.0,0.0,-0.0136,0.0158,0.034,-0.084,87,23,0.0279,106,66.0435,4.121,1.0348,6.228,2.638,3.59,0,0.0,-0.0295,0.0186,0.034,-0.084,25,0.0283,2.1094,0.2691,2.636,1.719,0,0.0,-0.0077,0.0038,-0.001,-0.0225,1,0.006,1.4529,0.1313,1.714,1.265,0,0.0,-0.0038,0.0019,0.0015,-0.009,1,0.0015,1,1,1
8,2.5517,1.2888,5.939,1.25,0,0.0,0.0,-0.013,0.0136,-0.0005,-0.0915,86,20,0.0325,172,60.05,4.1092,1.0202,5.939,2.628,3.311,0,0.0,-0.0277,0.0147,-0.0045,-0.0915,19,0.034,2.0998,0.2697,2.623,1.707,0,0.0,-0.0077,0.0034,-0.001,-0.0205,4,0.0124,1.446,0.1293,1.697,1.25,0,0.0,-0.0038,0.0014,-0.0005,-0.008,0,0.0,1,1,1
9,2.469,1.1999,5.683,1.236,0,0.0,0.0,-0.0123,0.013,0.001,-0.091,81,18,0.0316,81,50.6667,3.9195,0.9415,5.683,2.582,3.101,0,0.0,-0.0259,0.0146,0.001,-0.091,23,0.0326,2.0577,0.2513,2.562,1.677,0,0.0,-0.0075,0.0033,0.0005,-0.019,1,0.0005,1.4297,0.1266,1.671,1.236,0,0.0,-0.0037,0.0014,0.0,-0.008,0,0.0,1,1,1
