,d_mean,d_std,d_max,d_min,d_peaks_num,d_peaks_mean,d_peaks_idx_mean,g_mean,g_std,g_max,g_min,g_argmax,g_peaks_num,g_peaks_mean,g_clpeak_idx,g_peaks_idx_mean,ud_mean,ud_std,ud_max,ud_min,ud_delta,ud_peaks_num,ud_peaks_mean,ug_mean,ug_std,ug_max,ug_min,ug_peaks_num,ug_peaks_mean,md_mean,md_std,md_max,md_min,md_peaks_num,md_peaks_mean,mg_mean,mg_std,mg_max,mg_min,mg_peaks_num,mg_peaks_mean,bd_mean,bd_std,bd_max,bd_min,bd_peaks_num,bd_peaks_mean,bg_mean,bg_std,bg_max,bg_min,bg_peaks_num,bg_peaks_mean,top_labels,mid_labels,bot_labels
321,0.9775,0.0956,1.151,0.843,1,0.865,196.0,-0.0004,0.0036,0.0285,-0.0165,345,4,0.0132,339,272.25,1.0971,0.0565,1.151,0.984,0.167,0,0.0,-0.0014,0.0018,0.004,-0.0085,1,0.004,0.9084,0.0371,0.982,0.843,4,0.8683,-0.0002,0.0034,0.0075,-0.0165,2,0.012,0.927,0.0348,1.007,0.864,5,0.9082,0.0003,0.0046,0.0285,-0.007,2,0.0145,1,2,2
322,1.0011,0.1083,1.31,0.856,0,0.0,0.0,-0.0009,0.0044,0.02,-0.0382,20,0,0.0,0,0.0,1.1342,0.0765,1.31,1.021,0.289,2,1.2035,-0.0024,0.0054,0.006,-0.0382,2,0.0229,0.928,0.0442,1.019,0.856,3,0.8743,-0.0007,0.0028,0.0095,-0.007,0,0.0,0.9412,0.0278,1.0,0.883,5,0.9278,0.0005,0.0041,0.02,-0.0085,1,0.0055,1,2,2
323,1.0489,0.1399,1.378,0.877,1,1.243,49.0,-0.0013,0.0031,0.011,-0.016,75,3,0.0118,352,210.3333,1.2249,0.0919,1.378,1.075,0.303,3,1.2563,-0.0025,0.0031,0.0055,-0.016,2,0.0151,0.9711,0.0505,1.07,0.887,2,0.919,-0.0016,0.0018,0.011,-0.007,1,0.011,0.9507,0.0316,1.002,0.877,3,0.962,0.0001,0.0035,0.0105,-0.01,1,0.01,1,1,2
324,1.064,0.1454,1.417,0.887,1,1.001,348.0,-0.0012,0.0066,0.036,-0.0761,60,3,0.0429,349,155.6667,1.2409,0.1085,1.417,1.1,0.317,3,1.3213,-0.0026,0.01,0.036,-0.0761,2,0.0561,0.9943,0.0537,1.097,0.917,2,0.9315,-0.0015,0.002,0.011,-0.008,0,0.0,0.9568,0.0331,1.006,0.887,5,0.9578,0.0005,0.0044,0.018,-0.0165,1,0.0165,1,1,2
325,1.0912,0.1692,1.475,0.89,0,0.0,0.0,-0.0014,0.005,0.031,-0.0349,82,6,0.0239,249,168.1667,1.2995,0.1152,1.475,1.145,0.33,1,1.475,-0.0025,0.0049,0.0135,-0.0349,4,0.0143,1.0231,0.0608,1.142,0.93,0,0.0,-0.0018,0.0007,0.0,-0.0035,0,0.0,0.951,0.0351,1.01,0.89,5,0.926,0.0,0.0069,0.031,-0.031,3,0.0307,1,1,2
326,1.0957,0.1695,1.437,0.879,0,0.0,0.0,-0.0014,0.0042,0.0195,-0.0439,91,2,0.0277,262,176.5,1.3063,0.1048,1.437,1.151,0.286,6,1.327,-0.0023,0.0056,0.008,-0.0439,1,0.0439,1.032,0.0628,1.154,0.938,1,0.955,-0.0018,0.0011,0.001,-0.0055,0,0.0,0.9489,0.0352,1.009,0.879,5,0.9286,0.0001,0.0041,0.0195,-0.0115,1,0.0115,1,1,2
327,1.0595,0.2118,1.428,0.419,1,1.232,85.0,-0.0028,0.0128,0.029,-0.1755,344,7,0.0396,344,245.7143,1.2906,0.0963,1.428,1.137,0.291,3,1.361,-0.0024,0.0041,0.007,-0.036,2,0.0215,1.0237,0.0618,1.139,0.927,0,0.0,-0.0018,0.0011,0.003,-0.0055,0,0.0,0.8641,0.1693,0.995,0.419,6,0.8963,-0.0042,0.0217,0.029,-0.1755,6,0.0397,1,1,2
328,1.068,0.1697,1.434,0.858,0,0.0,0.0,-0.0015,0.0056,0.0485,-0.0555,92,11,0.0167,338,226.0,1.2797,0.0945,1.434,1.13,0.304,2,1.1805,-0.0026,0.0067,0.019,-0.0555,4,0.021,1.0137,0.0599,1.123,0.92,0,0.0,-0.0017,0.0011,0.0035,-0.0055,0,0.0,0.9106,0.0364,0.987,0.858,6,0.9005,-0.0002,0.0067,0.0485,-0.0169,7,0.0143,1,1,2
329,0.9313,0.3504,1.411,0.321,0,0.0,0.0,-0.003,0.0149,0.0495,-0.2018,280,7,0.0519,348,229.7143,1.265,0.0923,1.411,1.112,0.299,1,1.21,-0.0025,0.008,0.0495,-0.0608,4,0.0311,1.0095,0.0585,1.115,0.917,0,0.0,-0.0016,0.0009,0.0015,-0.0045,0,0.0,0.5193,0.2633,0.916,0.321,2,0.598,-0.0049,0.0244,0.0215,-0.2018,4,0.0612,1,1,2
330,0.9402,0.3466,1.424,0.312,0,0.0,0.0,-0.0031,0.0147,0.0015,-0.21,286,2,0.1181,286,183.5,1.2626,0.0936,1.424,1.121,0.303,1,1.149,-0.0025,0.0034,0.0005,-0.0262,1,0.0262,1.0172,0.0587,1.122,0.923,0,0.0,-0.0017,0.0008,0.0005,-0.0045,0,0.0,0.5407,0.2806,0.922,0.312,4,0.4525,-0.0051,0.025,0.0015,-0.21,1,0.21,1,1,2
