,d_mean,d_std,d_max,d_min,d_peaks_num,d_peaks_mean,d_peaks_idx_mean,g_mean,g_std,g_max,g_min,g_argmax,g_peaks_num,g_peaks_mean,g_clpeak_idx,g_peaks_idx_mean,ud_mean,ud_std,ud_max,ud_min,ud_delta,ud_peaks_num,ud_peaks_mean,ug_mean,ug_std,ug_max,ug_min,ug_peaks_num,ug_peaks_mean,md_mean,md_std,md_max,md_min,md_peaks_num,md_peaks_mean,mg_mean,mg_std,mg_max,mg_min,mg_peaks_num,mg_peaks_mean,bd_mean,bd_std,bd_max,bd_min,bd_peaks_num,bd_peaks_mean,bg_mean,bg_std,bg_max,bg_min,bg_peaks_num,bg_peaks_mean,labels
114,2.0492,0.7296,4.139,1.212,0,0.0,0.0,-0.0082,0.0085,0.0085,-0.0375,11,17,0.0197,219,55.5294,2.9264,0.5653,4.139,2.153,1.986,0,0.0,-0.0168,0.0092,0.0085,-0.0375,18,0.0193,1.8256,0.1323,2.137,1.62,2,1.755,-0.0044,0.0042,0.006,-0.016,2,0.0092,1.3958,0.1165,1.612,1.212,0,0.0,-0.0034,0.0011,-0.001,-0.0075,1,0.0075,2
115,2.0267,0.7061,3.873,1.212,0,0.0,0.0,-0.0074,0.0069,0.006,-0.034,16,10,0.0166,93,63.0,2.8818,0.5312,3.873,2.127,1.746,0,0.0,-0.0146,0.0067,0.0,-0.034,16,0.0163,1.8071,0.1312,2.12,1.624,3,1.708,-0.0042,0.004,0.006,-0.0115,1,0.003,1.3913,0.1154,1.618,1.212,0,0.0,-0.0034,0.0013,-0.001,-0.009,0,0.0,2
116,2.0271,0.7062,3.95,1.216,0,0.0,0.0,-0.0075,0.0073,0.019,-0.042,2,8,0.014,73,55.75,2.8904,0.5139,3.95,2.141,1.809,0,0.0,-0.0149,0.0079,0.019,-0.042,11,0.016,1.7899,0.1535,2.134,1.618,2,1.6485,-0.0041,0.0038,0.0055,-0.011,0,0.0,1.401,0.1216,1.644,1.216,0,0.0,-0.0036,0.0014,-0.001,-0.009,0,0.0,2
117,2.2026,0.8844,4.448,1.263,0,0.0,0.0,-0.0089,0.0084,0.0135,-0.049,30,15,0.0183,109,61.6,3.2902,0.6449,4.448,2.349,2.099,0,0.0,-0.0176,0.0084,0.007,-0.049,17,0.0191,1.8745,0.2284,2.341,1.544,0,0.0,-0.0067,0.0028,-0.0015,-0.0175,2,0.0078,1.4432,0.105,1.578,1.263,2,1.551,-0.0023,0.0029,0.0135,-0.0085,1,0.0135,2
118,2.2082,0.9018,4.244,1.249,1,1.47,255.0,-0.0079,0.0099,0.054,-0.053,5,10,0.0233,114,60.9,3.3265,0.6284,4.244,2.36,1.884,1,4.244,-0.0145,0.0142,0.054,-0.053,12,0.023,1.8788,0.2361,2.348,1.534,0,0.0,-0.0069,0.0028,0.0005,-0.0165,2,0.0107,1.4192,0.0876,1.526,1.249,3,1.5003,-0.0024,0.0026,0.0065,-0.008,0,0.0,2
119,2.1231,0.8349,4.147,1.239,0,0.0,0.0,-0.0076,0.009,0.027,-0.045,17,15,0.0208,117,72.2,3.1516,0.5981,4.147,2.284,1.863,1,4.147,-0.0142,0.0123,0.027,-0.045,17,0.0222,1.824,0.2208,2.277,1.498,0,0.0,-0.0065,0.0029,-0.0005,-0.014,4,0.0046,1.3938,0.0754,1.491,1.239,2,1.45,-0.0022,0.0029,0.0095,-0.007,1,0.0095,2
120,2.0885,0.8146,4.154,1.238,0,0.0,0.0,-0.0081,0.0077,0.005,-0.0405,18,16,0.0171,244,78.6875,3.0873,0.5952,4.154,2.238,1.916,0,0.0,-0.0161,0.0075,0.004,-0.0405,17,0.018,1.8006,0.2142,2.225,1.487,0,0.0,-0.0062,0.0027,-0.0005,-0.0155,1,0.0005,1.3775,0.0674,1.483,1.238,2,1.4225,-0.0021,0.0028,0.005,-0.0105,4,0.0055,2
121,2.011,0.755,4.011,1.226,1,1.34,273.0,-0.0077,0.0079,0.0055,-0.068,7,11,0.0222,172,53.6364,2.9356,0.5502,4.011,2.154,1.857,0,0.0,-0.0155,0.0086,-0.001,-0.068,16,0.0203,1.7508,0.2003,2.144,1.45,0,0.0,-0.0058,0.0025,-0.0005,-0.0115,1,0.011,1.3467,0.057,1.446,1.226,2,1.371,-0.0019,0.0025,0.0055,-0.006,0,0.0,2
122,1.9795,0.7353,3.968,1.219,1,1.297,282.0,-0.0077,0.0078,0.007,-0.0535,6,11,0.019,91,46.0909,2.8781,0.5357,3.968,2.119,1.849,0,0.0,-0.0156,0.0082,-0.0005,-0.0535,16,0.0182,1.7338,0.1953,2.108,1.441,0,0.0,-0.0056,0.0026,0.0005,-0.014,0,0.0,1.3266,0.0502,1.434,1.219,2,1.335,-0.0018,0.0027,0.007,-0.007,0,0.0,2
123,1.9701,0.7462,3.867,1.224,1,3.867,5.0,-0.0072,0.0076,0.021,-0.053,6,9,0.0227,115,39.8889,2.8831,0.5304,3.867,2.13,1.737,1,3.867,-0.0139,0.0091,0.021,-0.053,14,0.0197,1.7332,0.1971,2.125,1.43,0,0.0,-0.0058,0.0025,0.0015,-0.014,1,0.004,1.294,0.0568,1.426,1.224,2,1.258,-0.0017,0.0025,0.007,-0.0055,0,0.0,1
